slug,title,description,body,type,topics,level,tradition,dateAdded,estMinutes,author,sourceUrl,sourceName
consequentialism,Consequentialism,"Surveys the family of views holding that an act's rightness depends solely on its consequences, tracing the distinctions consequentialists draw between actual, foreseen, and rule-based versions of the theory.",,Explainer,Ethics,Undergraduate,Analytic,2025-01-10,35,Walter Sinnott-Armstrong,https://plato.stanford.edu/entries/consequentialism/,Stanford Encyclopedia of Philosophy
kant-s-moral-philosophy,Kant's Moral Philosophy,Walks through Kant's Categorical Imperative and the idea that moral duty is grounded in rational autonomy rather than in consequences or desires.,,Explainer,Ethics,Undergraduate,Modern,2025-01-15,40,Robert Johnson & Adam Cureton,https://plato.stanford.edu/entries/kant-moral/,Stanford Encyclopedia of Philosophy
virtue-ethics,Virtue Ethics,Traces virtue ethics from Aristotle's concept of eudaimonia through its 20th-century revival as an alternative to consequentialism and deontology.,,Explainer,Ethics,Undergraduate,Ancient,2025-01-19,35,Rosalind Hursthouse & Glen Pettigrove,https://plato.stanford.edu/entries/ethics-virtue/,Stanford Encyclopedia of Philosophy
contemporary-approaches-to-the-social-contract,Contemporary Approaches to the Social Contract,Explains how modern thinkers from Rawls to Gauthier reframed the classical social contract as an argument from rational agreement rather than historical consent.,,Explainer,Political Philosophy,Graduate / Advanced,Contemporary,2025-01-24,40,"Fred D'Agostino, Gerald Gaus & John Thrasher",https://plato.stanford.edu/entries/contractarianism-contemporary/,Stanford Encyclopedia of Philosophy
john-rawls,John Rawls,"Covers Rawls's life and the core architecture of justice as fairness, including the original position and the two principles of justice.",,Explainer,Political Philosophy,Undergraduate,Contemporary,2025-01-28,35,Samuel Freeman,https://plato.stanford.edu/entries/rawls/,Stanford Encyclopedia of Philosophy
war,War,"Lays out just war theory's attempt to find a middle path between pacifism and realism, covering jus ad bellum and jus in bello criteria.",,Explainer,"Political Philosophy, Ethics",Undergraduate,Contemporary,2025-02-02,40,SEP contributors,https://plato.stanford.edu/entries/war/,Stanford Encyclopedia of Philosophy
the-problem-of-evil,The Problem of Evil,"Sets out the logical and evidential versions of the problem of evil and the main theistic responses, including theodicies and skeptical theism.",,Explainer,Philosophy of Religion,Undergraduate,Contemporary,2025-02-07,35,Michael Tooley,https://plato.stanford.edu/entries/evil/,Stanford Encyclopedia of Philosophy
pascal-s-wager,Pascal's Wager,Reconstructs Pascal's decision-theoretic argument for believing in God and reviews the classic objections to betting on faith.,,Explainer,Philosophy of Religion,Undergraduate,Modern,2025-02-11,30,Paul Bartha,https://plato.stanford.edu/entries/pascal-wager/,Stanford Encyclopedia of Philosophy
ontological-arguments,Ontological Arguments,Traces the ontological argument from Anselm's original a priori proof of God's existence through Kant's and later Gödel's and Plantinga's responses.,,Explainer,Philosophy of Religion,Undergraduate,Medieval,2025-02-16,40,Kenneth Himma & Graham Oppy,https://plato.stanford.edu/entries/ontological-arguments/,Stanford Encyclopedia of Philosophy
theological-voluntarism,Theological Voluntarism,"Examines divine command theory's central claim that moral obligation is constituted by God's will, and its main historical and contemporary variants.",,Explainer,"Philosophy of Religion, Ethics",Graduate / Advanced,Medieval,2025-02-20,30,Michael J. Murray & Kyle Rupp,https://plato.stanford.edu/entries/voluntarism-theological/,Stanford Encyclopedia of Philosophy
